problem,Arith,RobberPhex,Edward,Shisoft
-,-,-,-,-
1. Two Sum,✓,✓,,
10. Regular Expression Matching,,✓,,
100. Same Tree,,✓,,
101. Symmetric Tree,,✓,,
104. Maximum Depth of Binary Tree,,✓,,
11. Container With Most Water,,✓,,
12. Integer to Roman,,✓,,
122. Best Time to Buy and Sell Stock II,,✓,,
13. Roman to Integer,,✓,,
138. Copy List with Random Pointer,✓,✓,✓,
14. Longest Common Prefix,,✓,,
141. Linked List Cycle,,✓,,
146. LRU Cache,✓,✓,,
15. 3Sum,,✓,,
16. 3Sum Closest,,✓,,
162. Find Peak Element,,✓,,
165. Compare Version Numbers,,✓,,
17. Letter Combinations of a Phone Number,,✓,,
175. Combine Two Tables,,✓,,
18. 4Sum,,✓,,
19. Remove Nth Node From End of List,,✓,,
2. Add Two Numbers,,✓,,
20. Valid Parentheses,,✓,,
203. Remove Linked List Elements,,✓,,
206. Reverse Linked List,,✓,,
21. Merge Two Sorted Lists,,✓,,
234. Palindrome Linked List,,✓,,
26. Remove Duplicates from Sorted Array,,✓,,
27. Remove Element,,✓,,
278. First Bad Version,,✓,,
3. Longest Substring Without Repeating Characters,,✓,,
328. Odd Even Linked List,,✓,,
35. Search Insert Position,,✓,,
371. Sum of Two Integers,,✓,,
38. Count and Say,,✓,,
384. Shuffle an Array,,✓,,
386. Lexicographical Numbers,,✓,,
393. UTF-8 Validation,,✓,✓,
4. Median of Two Sorted Arrays,,✓,,
409. Longest Palindrome,✓,✓,,✓
419. Battleships in a Board,,✓,,✓
440. K-th Smallest in Lexicographical Order,,,,
453. Minimum Moves to Equal Array Elements,✓,✓,,✓
456. 132 Pattern,✓,✓,,
463. Island Perimeter,✓,✓,,
475. Heaters,,,,
482. License Key Formatting,✓,✓,,
5. Longest Palindromic Substring,,✓,,
"50. Pow(x, n)",,✓,,
520. Detect Capital,,✓,,
53. Maximum Subarray,,✓,,
547. Friend Circles,,✓,,
58. Length of Last Word,,✓,,
6. ZigZag Conversion,,✓,,
61. Rotate List,,✓,,
66. Plus One,,✓,,
67. Add Binary,,✓,,
69. Sqrt(x),,✓,,
7. Reverse Integer,,✓,,
70. Climbing Stairs,,✓,,
722. Remove Comments,,✓,,
724. Find Pivot Index,,✓,,
725. Split Linked List in Parts,,✓,,
726. Number of Atoms,,✓,,
796. Rotate String,,✓,,
8. String to Integer (atoi),,✓,,
83. Remove Duplicates from Sorted List,,✓,,
852. Peak Index in a Mountain Array,,✓,,
856. Score of Parentheses,,✓,,
857. Minimum Cost to Hire K Workers,,✓,,
858. Mirror Reflection,,✓,,
859. Buddy Strings,,✓,,
860. Lemonade Change,,✓,,
861. Score After Flipping Matrix,,✓,,
862. Shortest Subarray with Sum at Least K,,✓,,
863. All Nodes Distance K in Binary Tree,,✓,,
865. Smallest Subtree with all the Deepest Nodes,,✓,,
867. Transpose Matrix,,✓,,
868. Binary Gap,,✓,,
869. Reordered Power of 2,,✓,,
870. Advantage Shuffle,,✓,,
871. Minimum Number of Refueling Stops,,✓,,
872. Leaf-Similar Trees,,✓,,
873. Length of Longest Fibonacci Subsequence,,✓,,
874. Walking Robot Simulation,,✓,,
875. Koko Eating Bananas,,✓,,
876. Middle of the Linked List,,✓,,
88. Merge Sorted Array,,✓,,
883. Generate Random Point in a Circle,,✓,,
889. Spiral Matrix III,,✓,,
890. Possible Bipartition,,✓,,
9. Palindrome Number,✓,✓,,
92. Reverse Linked List II,,✓,,
